=======================
READING data.txt:
=======================

Time (ms), Visible (arb.), IR (arb.), UV Index, Temperature (deg C), Pressure (mbar), Altitude (m)
237,316,846,0,[error starting temperature measurement],
Time (ms), Visible (arb.), IR (arb.), UV Index, Temperature (deg C), Pressure (mbar), Altitude (m)
237,316,1064,0,9.84,979.20,100.00,
Time (ms), Visible (arb.), IR (arb.), UV Index, Temperature (deg C), Pressure (mbar), Altitude (m)
2078232,1809,14972,8,14.42,744.51,100\``Xdb`pnr`Xbn`nXbfdfjXnXbh\`fXnf`\b`Xb``\``XdbfrfhpXbhjpXb`ldnXlX`̸ ԰  Ը ԰       (      ܰ   а    ԰ذ ̸ ̰  ĸ Ȱ       (      ذ   ذ    ܰ԰ ȸ Ȱ  ܸ ܰ       (      а   ԰    İܰ ȸ ذ  и ̰       (      Ȱ   ̰    ԰ ĸ       ܰ       (      İ   ذ       ĸ Ȱ  ܸ ̰       (                İذ        и         (      ܰ   ܰ          ԰  ĸ Ȱ       (      ذ        ԰а  а            (      а      ,16083,8,9.31,596.20,100.00,
2444940,1428,11912,6,8.74,583.19,2``\``XdhnjhrpXbhhjXbd`dfXlXp\drXjn`\pbXb``\``Xdj`l`jlXbpd`XbhjpdXpXn\pbXjjp\ljXb``\``XdjfllbhXbrffXbll`hXpXn\djXjhl\nfXb``\``XdjlnbnfXbjbhXbdbjbXlXl\n`Xjfj\bfXb``\`` (      İ   ذ     ԰ظ ԰  и          (          а    ̰ܰԸ Ȱ  ̸ İ       (      ܰ   ̰      ܰԸ    ȸ         (      ԰   İ     ܰи    ĸ         (      ԰   ܰ    ̰ ̸ а     ܰ       (      ̰   İ      ̸ ܰ     İ       (      İ   ذ    ԰ ȸ       ,100.00,
2811642,1478,11176,6,2.18,447.56,100.00,
2842201,1511,13567,6,1.59,437.34,100.00,
2872759,1863,16275,8,0.98,427.37,100.00,
2903317,1459,12190,6,0.45,417.73,100.00,
2933875,1541,13162,6,-0.12,407.39,100.00,
2964432,1974,17227,9,-0.63,397.27,100.00,
2994992,1545,12194,6,-1.20,387.20,100.00,
3025550,1713,14890,7,-1.71,378.12,100.00,
3056108,1433,10851,6,-2.23,369.03,100.00,
3086666,904,6896,3,-2.71,360.81,100.00,
3117223,1050,7704,4,-3.21,352.69,100.00,
3147783,784,6081,2,-3.66,344.75,100.00,
3178340,1499,12793,6,-4.16,336.92,100.00,
3208902,1632,13767,7,-4.65,328.80,100.00,
3239460,962,6483,3,-5.07,320.87,100.00,
3270025,1494,12659,6,-5.44,314.18,100.00,
3300583,706,4806,2,-5.83,306.65,100.00,
3331141,1483,11142,6,-6.25,299,blXb``\``XfflblrrXb`j`XnfffXhXZl\l`Xdrb\jfXb``\``XffrddjpXprpXnfndXfXZl\rjXdpj\`rXb``\``XfhddpblXbn`lXbhbnrXnXZn\dlXdnn\jnXb``\``XfhjffnhXhrhXdjllXbXZn\lfXdn`\jjXb``\``XfhpfrfdXhdpXbfjpX`XZn\rrXdlf\jpXb``\``Xfjbhhr`XbdfrXb`ldbXjXZp\flXdjl\flXb``\``Xfjhj`hrXpjfXjn`bXfXZp\lpXdj    0.31,100.00,
3575610,1227,8979,5,-8.98,244.13,100.00,
3606168,2010,17117,9,-9.30,238.16,100.00,
3636727,922,6522,3,-9.60,232.16,100.00,
